"","V1","V2"
"mean",0.000586527590736671,-0.00072861926397754
"sd",0.00642067867321195,0.0166014037135511
"kurtosis",3.6776649324484,15.2688965063081
"skewness",-0.0253671346230208,-0.740637798688547
"length",12848,3757
