"","x"
"1",0.0047365393466734
"2",0.00294898473815719
"3",0.0058720074772225
"4",-0.0029316936858268
"5",0.00351700245290232
"6",-0.0194984020735625
"7",-0.00538439829123405
"8",0.00299491089385251
"9",0.00833834491715413
"10",-0.000593295775338731
"11",0.00118623975950616
"12",0.0017767253711507
"13",0.00118273224904986
"14",-0.00355240160436798
"15",-0.00714288751238046
"16",-0.000597550062596319
"17",0.00536513954606921
"18",0.0118204686004262
"19",0.00176108058429758
"20",0
"21",0.0105018468103126
"22",0.00347624915536082
"23",0.00173360343909001
"24",-0.00520985259445084
"25",-0.00116144031639021
"26",0.00405915315246164
"27",-0.00231749814036286
"28",-0.010495723172014
"29",0
"30",-0.00411160637969221
"31",0.00937323792810796
"32",0.00291121020745866
"33",-0.00174570891002324
"34",0.00232693531406403
"35",0.00405915315246164
"36",0
"37",-0.00347826437632515
"38",0.00116076623596229
"39",-0.00058021469570857
"40",0.00347624915536082
"41",0.00173360343909001
"42",-0.00695251931488183
"43",-0.000581564424649184
"44",-0.00700528258840905
"45",0.00117096032115027
"46",0.00175387358609669
"47",0.00756477276377288
"48",0.0115275051710673
"49",0.00228964038207424
"50",-0.00228964038207424
"51",-0.000573230167602468
"52",0.000573230167602468
"53",0.00571430126343886
"54",0.000569638295095487
"55",0
"56",-0.00571103779551452
"57",0.00400114852168709
"58",-0.00514728045230939
"59",-0.00805991697710029
"60",-0.000578201808534295
"61",0.013785399237944
"62",0.00114025097873194
"63",0.00454804649790397
"64",0.00847223367597971
"65",0.00392927813988964
"66",-0.00561799230422366
"67",0.0106473407092254
"68",0.00222717241282444
"69",-0.00111296616942091
"70",-0.00446429312868535
"71",0.00835426746985757
"72",0.00110864756366436
"73",-0.00667039716184847
"74",0.0016717752570119
"75",-0.00726463099900476
"76",0
"77",-0.00393369431102464
"78",0.00561483788432904
"79",0.00558348742570036
"80",0.0143728289577587
"81",-0.00605561993649006
"82",0.00879609849459317
"83",-0.00824406977508207
"84",0.00550359121697896
