date,SPR.T-5,PRC.T-5,VOL.T-5,SHROUT.T-5,RETX.T-5,SPR.T-4,PRC.T-4,VOL.T-4,SHROUT.T-4,RETX.T-4,SPR.T-3,PRC.T-3,VOL.T-3,SHROUT.T-3,RETX.T-3,SPR.T-2,PRC.T-2,VOL.T-2,SHROUT.T-2,RETX.T-2,SPR.T-1,PRC.T-1,VOL.T-1,SHROUT.T-1,RETX.T-1,sprtrn,MOVEMENT.T-0
6.Feb.08,0.69,19.68,50356290,5136588,0.021812,0.57,19.2,59196526,5136588,-0.02439,0.45,19.19,38131835,5136588,-0.000521,0.4,19.44,44114367,5136588,0.013028,0.5902,19.41,36472721,5136588,-0.001543,-0.007624,1
7.Feb.08,0.57,19.2,59196526,5136588,-0.02439,0.45,19.19,38131835,5136588,-0.000521,0.4,19.44,44114367,5136588,0.013028,0.5902,19.41,36472721,5136588,-0.001543,0.4693,19.66,33598052,5136588,0.01288,0.007886,0
8.Feb.08,0.45,19.19,38131835,5136588,-0.000521,0.4,19.44,44114367,5136588,0.013028,0.5902,19.41,36472721,5136588,-0.001543,0.4693,19.66,33598052,5136588,0.01288,0.72,19.09,36483347,5136588,-0.028993,-0.004204,1
11.Feb.08,0.4,19.44,44114367,5136588,0.013028,0.5902,19.41,36472721,5136588,-0.001543,0.4693,19.66,33598052,5136588,0.01288,0.72,19.09,36483347,5136588,-0.028993,0.278,19.09,25070750,5136588,0,0.005889,0
12.Feb.08,0.5902,19.41,36472721,5136588,-0.001543,0.4693,19.66,33598052,5136588,0.01288,0.72,19.09,36483347,5136588,-0.028993,0.278,19.09,25070750,5136588,0,0.41,19.02,34260032,5136588,-0.003667,0.007266,1
13.Feb.08,0.4693,19.66,33598052,5136588,0.01288,0.72,19.09,36483347,5136588,-0.028993,0.278,19.09,25070750,5136588,0,0.41,19.02,34260032,5136588,-0.003667,0.52,19.43,36662041,5136588,0.021556,0.013604,0
14.Feb.08,0.72,19.09,36483347,5136588,-0.028993,0.278,19.09,25070750,5136588,0,0.41,19.02,34260032,5136588,-0.003667,0.52,19.43,36662041,5136588,0.021556,0.79,18.89,55583455,5136588,-0.027792,-0.013421,1
15.Feb.08,0.278,19.09,25070750,5136588,0,0.41,19.02,34260032,5136588,-0.003667,0.52,19.43,36662041,5136588,0.021556,0.79,18.89,55583455,5136588,-0.027792,0.84,18.9,61623507,5136588,0.000529,0.000838,1
19.Feb.08,0.41,19.02,34260032,5136588,-0.003667,0.52,19.43,36662041,5136588,0.021556,0.79,18.89,55583455,5136588,-0.027792,0.84,18.9,61623507,5136588,0.000529,0.51,18.97,56319796,5136588,0.003704,-0.000896,1
20.Feb.08,0.52,19.43,36662041,5136588,0.021556,0.79,18.89,55583455,5136588,-0.027792,0.84,18.9,61623507,5136588,0.000529,0.51,18.97,56319796,5136588,0.003704,0.48,19.21,48465079,5136588,0.012652,0.008341,0
21.Feb.08,0.79,18.89,55583455,5136588,-0.027792,0.84,18.9,61623507,5136588,0.000529,0.51,18.97,56319796,5136588,0.003704,0.48,19.21,48465079,5136588,0.012652,0.64,19.19,37883790,5136588,-0.001041,-0.012867,1
22.Feb.08,0.84,18.9,61623507,5136588,0.000529,0.51,18.97,56319796,5136588,0.003704,0.48,19.21,48465079,5136588,0.012652,0.64,19.19,37883790,5136588,-0.001041,0.68,19.41,42319291,5136588,0.011464,0.007881,0
